# PA_IK.ik golden vectors
# 由 tools/golden/gen_golden.py 从 micropython/PA_IK.py 直接 exec 生成
# 列: case,l1,l2,x1,x2,x3,x4,y1,y2,y3,y4,ham1,ham2,ham3,ham4,shank1,shank2,shank3,shank4
case,l1,l2,x1,x2,x3,x4,y1,y2,y3,y4,ham1,ham2,ham3,ham4,shank1,shank2,shank3,shank4
0,130.000000,138.000000,-10.718364,-7.367605,-189.978578,-121.445461,-43.416599,-120.959699,-133.277089,-62.291540,-14.577648391,19.970474017,4.035605481,-35.165366986,161.092965983,126.333764072,60.054117726,118.853665666
0,130.000000,138.000000,-104.311823,96.661623,4.629239,-207.190091,-71.630735,-203.401516,-109.981484,-82.630817,-30.592216179,81.470008376,22.803914689,-13.076750827,123.746584240,65.688591746,131.610615710,67.360090920
0,130.000000,138.000000,179.628590,-71.398231,-208.906387,-28.836401,-24.292134,-111.906699,-115.737218,-27.294198,122.966364066,-5.895475316,1.119039256,-49.725027891,94.936387253,120.709106830,53.993590065,163.304544131
0,130.000000,138.000000,-132.806494,-28.071414,-84.691165,117.464211,-42.909112,-151.817025,-83.196574,-104.255569,-43.558709660,22.234924196,-22.732568694,81.883616898,117.315989771,109.721387746,127.514849142,108.318310763
0,130.000000,138.000000,-190.480608,-183.329769,-73.167012,-30.652244,-133.734369,-154.060897,-180.678507,-149.666099,4.357624440,12.490097687,22.980538542,20.675384733,59.475408905,53.384054497,86.718014884,110.566601811
0,130.000000,138.000000,154.825557,-234.758466,211.329904,164.998025,-199.622277,-49.498314,-105.742833,-59.249635,107.680779961,-15.420963416,124.343083647,109.094414380,39.020271164,52.951001602,56.319082712,98.347822319
0,130.000000,138.000000,88.475823,178.648247,57.853094,127.666464,-42.569414,-105.039968,-55.272438,-127.885671,81.382135483,108.771427499,58.117607495,85.445471563,137.147488448,78.742265695,145.422065398,95.261948607
0,130.000000,138.000000,-151.243848,135.677920,112.896128,-45.709425,-78.390362,-218.796779,-120.205967,-23.964371,-25.244130327,105.171341287,78.954689408,-60.113695489,101.126951907,32.274488087,104.113309124,158.055485811
0,130.000000,138.000000,156.487054,-1.978393,-117.820989,99.982621,-82.260407,-48.633527,-58.418888,-30.882891,101.566041033,-1.310147124,-37.324764133,91.720189566,97.509257470,159.350358828,121.317012628,134.154218697
0,130.000000,138.000000,36.584900,170.547812,77.040251,-128.287268,-117.761336,-200.973779,-116.143297,-98.745250,41.300725723,119.584526968,62.038855695,-17.543871102,125.308377264,20.838321235,117.413609469,105.744141788
0,130.000000,138.000000,-32.228412,42.054369,12.130989,84.896588,-138.610048,-135.884792,-168.987507,-181.622183,16.211170489,46.479215133,41.187644879,71.936350492,115.935750138,115.968018020,101.641386150,83.197244160
0,130.000000,138.000000,-19.184759,80.594922,-116.207905,-32.058351,-248.042011,-205.687187,-179.529439,-68.599730,63.052059401,75.722015604,18.710905116,-14.542197217,43.679580013,68.999113423,74.164014923,147.350083591
0,130.000000,138.000000,28.486749,-81.648633,222.266193,31.676346,-239.036577,-239.527453,-72.667685,-200.349129,69.873839943,51.350963297,131.679460267,56.672527241,52.169932233,38.459145441,58.515722257,81.668265607
0,130.000000,138.000000,181.141052,-43.228460,111.712799,-172.112416,-164.313425,-103.512039,-112.409983,-203.802813,112.870310099,-1.692845370,78.705101254,44.126062577,48.303171196,130.622674091,107.565181716,11.054374410
0,130.000000,138.000000,188.984323,-41.027945,-14.031377,126.448894,-44.416866,-62.715314,-250.939441,-178.523652,121.538142741,-22.926831955,65.842666461,88.797571109,87.214065057,147.698513417,40.647021620,70.603257791
0,130.000000,138.000000,-137.070439,-186.937805,-135.763455,78.959525,-158.824066,-42.971068,-191.397783,-230.760269,9.342927653,-33.046944674,24.808064067,83.611735957,77.003039510,88.645317846,57.797685854,48.996804151
0,130.000000,138.000000,-87.817466,-97.758969,146.450174,113.499793,-95.102259,-190.464074,-93.960407,-95.730405,-16.987086207,24.541028566,95.767072118,80.888071060,122.328513907,74.000812042,99.088804110,112.788615105
0,130.000000,138.000000,18.537959,-156.092012,214.183386,170.340661,-59.615693,-94.544362,-137.029198,-99.263678,23.475692290,-17.747715343,128.389707366,105.531557342,153.272106948,94.220592775,36.860517810,85.323609111
0,130.000000,138.000000,64.540572,-32.401598,137.214182,131.533183,-49.690739,-52.325920,-44.445761,-94.544452,64.648991650,-25.870514942,101.891424320,89.189976952,144.772821918,153.664706945,114.960009021,105.692078531
0,130.000000,138.000000,50.048754,-10.442303,-126.914279,242.610672,-142.448311,-153.430250,-144.893173,-95.235560,51.100736582,28.644607204,3.052961680,144.687011248,111.495772654,110.038127890,88.151673696,26.942130534
1,130.000000,138.000000,0.000000,0.000000,0.000000,261.000000,-140.000000,-9.500000,-266.500000,0.000000,61.343302434,146.250837473,6.249344288,-76.471013748,61.343302434,146.250837473,6.249344288,103.528986252
1,130.000000,138.000000,-261.000000,5.000000,-5.000000,60.000000,0.000000,-140.000000,-140.000000,-100.000000,103.528986252,59.273025482,63.363842460,36.837246686,-76.471013748,63.363842460,59.273025482,98.764759750
1,130.000000,138.000000,-60.000000,100.000000,-100.000000,67.719320,-100.000000,-180.000000,-180.000000,-67.306257,98.764759750,12.188019587,70.297227786,28.513437852,36.837246686,70.297227786,12.188019587,118.863989108
1,130.000000,138.000000,-182.925677,247.899731,-49.600471,-92.315133,-104.325884,-77.096482,-127.410511,-31.292270,99.879048686,-57.906229227,83.524828767,144.398600639,-20.727133920,87.542524094,40.983246647,1.849068050
1,130.000000,138.000000,88.342607,-241.699722,18.833172,-88.746503,-142.182449,-62.744510,-92.641301,-240.098495,21.665039320,97.413645194,62.464978075,38.052693571,85.373112510,-53.481188583,85.447263419,-2.518492503
1,130.000000,138.000000,-202.184485,-122.434354,113.803193,-124.774380,-53.301934,-63.753492,-175.023308,-81.779308,115.345132529,124.382376550,7.197454328,115.525536062,-35.117131986,-0.604220920,73.262697330,2.008603311
1,130.000000,138.000000,93.362713,34.217739,-211.722314,-160.080272,-160.539646,-77.931171,-76.806206,-156.355462,17.761748978,52.970114464,104.000049735,80.207364523,78.122503259,100.380404277,-36.121587521,-11.141446710
1,130.000000,138.000000,188.975571,-142.442811,242.061852,-12.380720,-76.671087,-219.043998,-86.136359,-55.472115,-25.984561456,46.284196426,-53.372172752,98.365393105,109.848724044,-19.787150483,87.452192000,73.202318414
1,130.000000,138.000000,25.735781,-228.598504,38.495283,154.512503,-80.012338,-30.330414,-188.161350,-157.144903,59.157670382,114.102896289,34.350428537,-8.632445992,94.818201146,-50.781399527,57.475211078,80.399684671
1,130.000000,138.000000,49.777898,-212.089242,136.060343,16.180282,-216.156314,-103.287474,-116.425556,-133.197233,22.349816421,93.299521053,0.560193944,56.034313262,48.286533059,-34.768308929,99.453607949,69.886579655
1,130.000000,138.000000,-66.487950,-46.601040,30.081244,-213.072844,-248.756706,-190.870029,-166.768800,-58.956642,31.565445662,58.182904900,42.682281084,110.142884916,1.636893826,30.742139494,63.132063130,-38.923888852
1,130.000000,138.000000,-205.268858,-152.878920,97.628862,-108.024410,-60.664779,-138.229194,-99.293799,-101.848308,111.840134800,89.055936161,17.036476630,105.655825524,-35.231024328,-6.705909268,106.067653745,12.284615715
1,130.000000,138.000000,181.089082,-22.770762,-27.959170,-43.753601,-41.883791,-244.907787,-71.848716,-24.916515,-29.084190063,29.460177919,100.335344979,148.627187507,124.870106242,18.836355252,57.809395491,27.947917615
1,130.000000,138.000000,-94.834367,167.737686,-133.238473,-57.969195,-88.555607,-174.539676,-30.139345,-206.766424,111.144139749,-17.626844481,139.541179806,53.707257920,17.222377002,70.096206644,-14.966546503,22.384432323
1,130.000000,138.000000,20.890352,72.483029,173.030741,102.359955,-33.185646,-88.724288,-130.715979,-191.501783,61.218879406,29.119427273,-15.683783447,9.012919515,125.599679160,107.613420717,90.177810142,65.262975101
1,130.000000,138.000000,-2.765221,37.506912,-55.430580,-77.475436,-206.811844,-42.894688,-206.848279,-121.087047,41.685407887,44.565012593,53.268444561,92.907945065,40.153328784,126.897602881,23.265472177,27.683071277
1,130.000000,138.000000,109.781749,12.044214,-4.090264,121.058279,-208.626575,-262.175998,-167.759186,-20.065641,1.584181017,9.406722167,54.792811543,-14.464835786,57.091923264,14.667293628,51.999421238,146.712525199
1,130.000000,138.000000,-10.718364,-7.367605,-189.978578,-121.445461,-43.416599,-120.959699,-133.277089,-62.291540,104.577648391,70.029525983,85.964394519,125.165366986,76.842713339,63.058414120,-23.933408926,-0.526442039
1,130.000000,138.000000,-104.311823,96.661623,4.629239,-207.190091,-71.630735,-203.401516,-109.981484,-82.630817,120.592216179,8.529991624,67.196085311,103.076750827,9.546843918,59.366525924,72.016521951,-33.437395654
1,130.000000,138.000000,179.628590,-71.398231,-208.906387,-28.836401,-24.292134,-111.906699,-115.737218,-27.294198,-32.966364066,95.895475316,88.880960744,139.725027891,131.630255589,30.818445485,-33.144841069,46.577386489
1,130.000000,138.000000,-132.806494,-28.071414,-84.691165,117.464211,-42.909112,-151.817025,-83.196574,-104.255569,133.558709660,67.765075804,112.732568694,8.116383102,-10.630521358,46.813394090,21.712464489,104.934954224
1,130.000000,138.000000,-190.480608,-183.329769,-73.167012,-30.652244,-133.734369,-154.060897,-180.678507,-149.666099,85.642375560,77.509902313,67.019461458,69.324615267,-24.213070910,-22.406168795,22.927807411,46.175897015
1,130.000000,138.000000,154.825557,-234.758466,211.329904,164.998025,-199.622277,-49.498314,-105.742833,-59.249635,-17.680779961,105.420963416,-34.343083647,-19.094414380,57.913000380,-50.766443192,92.493034815,121.399870025
1,130.000000,138.000000,88.475823,178.648247,57.853094,127.666464,-42.569414,-105.039968,-55.272438,-127.885671,8.617864517,-18.771427499,31.882392505,4.554528437,137.229563198,100.319995306,124.496038666,94.456234343
1,130.000000,138.000000,-151.243848,135.677920,112.896128,-45.709425,-78.390362,-218.796779,-120.205967,-23.964371,115.244130327,-15.171341287,11.045310592,150.113695489,-9.960051611,48.435532014,97.453015837,25.447616022
1,130.000000,138.000000,156.487054,-1.978393,-117.820989,99.982621,-82.260407,-48.633527,-58.418888,-30.882891,-11.566041033,91.310147124,127.324764133,-1.720189566,112.974924570,86.651175788,0.071723051,143.949794276
1,130.000000,138.000000,36.584900,170.547812,77.040251,-128.287268,-117.761336,-200.973779,-116.143297,-98.745250,48.699274277,-29.584526968,27.961144305,107.543871102,83.216165748,51.051829981,95.075423566,2.716253221
1,130.000000,138.000000,-32.228412,42.054369,12.130989,84.896588,-138.610048,-135.884792,-168.987507,-181.622183,73.788829511,43.520784867,48.812355121,18.063649508,47.610127970,77.913858203,57.024372992,68.169726353
1,130.000000,138.000000,-19.184759,80.594922,-116.207905,-32.058351,-248.042011,-205.687187,-179.529439,-68.599730,26.947940599,14.277984396,71.289094884,104.542197217,18.102490143,57.071703504,5.459805732,54.446501878
1,130.000000,138.000000,28.486749,-81.648633,222.266193,31.676346,-239.036577,-239.527453,-72.667685,-200.349129,20.126160057,38.649036703,-41.679460267,33.327472759,33.718296149,1.003239733,102.111272925,51.296315536
1,130.000000,138.000000,181.141052,-43.228460,111.712799,-172.112416,-164.313425,-103.512039,-112.409983,-203.802813,-22.870310099,91.692845370,11.294898746,45.873937423,72.707214982,46.360287474,100.938437242,-34.488555181
1,130.000000,138.000000,188.984323,-41.027945,-14.031377,126.448894,-44.416866,-62.715314,-250.939441,-178.523652,-31.538142741,112.926831955,24.157333539,1.202428891,122.009565692,46.541937774,17.756566872,71.822564936
1,130.000000,138.000000,-137.070439,-186.937805,-135.763455,78.959525,-158.824066,-42.971068,-191.397783,-230.760269,80.657072347,123.046944674,65.191935933,6.388264043,-0.933493209,-31.061864512,-5.506214382,44.167205844
1,130.000000,138.000000,-87.817466,-97.758969,146.450174,113.499793,-95.102259,-190.464074,-93.960407,-95.730405,106.987086207,65.458971434,-5.767072118,9.111928940,21.548294016,11.119083778,108.865588581,108.820601192
1,130.000000,138.000000,18.537959,-156.092012,214.183386,170.340661,-59.615693,-94.544362,-137.029198,-99.263678,66.524307710,107.747715343,-38.389707366,-15.531557342,101.071275900,-9.846011616,76.390091000,104.006631253
1,130.000000,138.000000,64.540572,-32.401598,137.214182,131.533183,-49.690739,-52.325920,-44.445761,-94.544452,25.351008350,115.870514942,-11.891424320,0.810023048,130.164598386,52.336734045,132.212720109,109.393781464
1,130.000000,138.000000,50.048754,-10.442303,-126.914279,242.610672,-142.448311,-153.430250,-144.893173,-95.235560,38.899263418,61.355392796,86.947038320,-54.687011248,77.616784499,53.568418978,4.515751634,82.448524884
