# PA_AVGFILT.avg_filiter golden vectors
# 由 tools/golden/gen_golden.py 从 micropython/PA_AVGFILT.py 直接 exec 生成
# ⚠️ 这是一串**调用序列**：同一 window 的行必须按 step 递增顺序喂给同一个滤波器实例
# 列: window,step,in,out
# window = 窗口大小 = len(cache_data) - 3
# out 是整数（Python 的 // 向下取整）
window,step,in,out
2,103,-1890,-861
2,104,-1514,-1702
2,105,-2013,-1764
2,106,-172,-1093
2,107,-1707,-940
2,108,1279,-214
2,109,146,712
2,110,1856,1001
2,111,-833,511
2,112,143,-345
2,113,-817,-337
2,114,-1757,-1287
2,115,-2834,-2296
2,116,-1497,-2166
2,117,-1163,-1330
2,118,-2917,-2040
2,119,2418,-250
2,120,1760,2089
2,121,2237,1998
2,122,-1730,253
2,123,-148,-939
2,124,-2085,-1117
2,125,2897,406
2,126,1361,2129
2,127,-365,498
2,128,-736,-551
2,129,713,-12
2,130,865,789
2,131,1622,1243
# PA_WALK 用法 -> 窗口 7 (cache len=10)
7,0,0,0
7,1,10,1
7,2,20,4
7,3,30,8
7,4,-5,7
7,5,-25,4
7,6,100,18
7,7,7,19
7,8,-7,17
7,9,0,14
7,10,32767,4691
7,11,-32768,10
7,12,-1020,-132
7,13,-2699,-532
7,14,-1440,-739
7,15,-2363,-1075
7,16,-2628,-1451
7,17,2878,-5720
7,18,-1710,-1284
7,19,105,-1123
7,20,-143,-758
7,21,-1460,-761
7,22,2903,-8
7,23,-292,325
7,24,-321,-132
7,25,-2424,-234
7,26,-70,-259
7,27,-651,-331
7,28,2748,270
7,29,-2432,-492
7,30,322,-404
7,31,1630,-126
7,32,-1374,24
7,33,-2772,-362
7,34,1493,-55
7,35,2341,-114
7,36,1115,393
7,37,-1378,150
7,38,2250,239
7,39,477,503
7,40,-660,805
7,41,806,707
7,42,1393,571
7,43,2866,822
7,44,1734,1266
7,45,1172,1112
7,46,2350,1380
7,47,-1973,1192
7,48,-2714,689
7,49,1872,758
7,50,554,427
7,51,-2539,-183
7,52,-822,-468
7,53,-1460,-1012
7,54,1780,-476
7,55,475,-20
7,56,1583,-62
7,57,1666,97
7,58,1805,718
7,59,1045,984
7,60,-1329,1003
7,61,-1504,534
7,62,2103,767
7,63,-1605,311
7,64,2813,475
7,65,-2491,-139
7,66,2508,70
7,67,-1869,-7
7,68,1345,400
7,69,-324,53
7,70,245,318
7,71,2674,298
7,72,135,673
7,73,-2628,-61
7,74,-1420,3
7,75,-1411,-390
7,76,2861,65
7,77,-2666,-351
7,78,636,-642
7,79,2984,-235
7,80,-1992,-144
7,81,995,201
7,82,2175,713
7,83,-2627,-71
7,84,2042,601
7,85,868,635
7,86,-655,115
7,87,2497,756
7,88,-1458,406
7,89,367,147
7,90,-1906,250
7,91,-2683,-425
7,92,-1488,-761
7,93,-391,-724
7,94,130,-1062
7,95,-2933,-1272
7,96,-2976,-1750
7,97,-1967,-1759
7,98,714,-1273
7,99,1399,-861
7,100,-1097,-962
7,101,-1708,-1224
7,102,168,-781
7,103,-1890,-626
7,104,-1514,-562
7,105,-2013,-951
7,106,-172,-1176
7,107,-1707,-1263
7,108,1279,-836
7,109,146,-839
7,110,1856,-304
7,111,-833,-207
7,112,143,101
7,113,-817,9
7,114,-1757,2
7,115,-2834,-586
7,116,-1497,-820
7,117,-1163,-1252
7,118,-2917,-1549
7,119,2418,-1224
7,120,1760,-856
7,121,2237,-286
7,122,-1730,-128
7,123,-148,65
7,124,-2085,-67
7,125,2897,764
7,126,1361,613
7,127,-365,309
7,128,-736,-116
7,129,713,233
7,130,865,378
7,131,1622,908
